深圳前海用友力合金融服务有限公司,4215499,数据分析（风控方向）,本科,1-3年,8k-15k,深圳,500-2000人,不需要融资,公司发展前景好+薪酬福利优,1天前发布
上海知助数据科技有限公司,5791832,python开发工程师(数据分析/爬虫),本科,1-3年,11k-16k,上海,少于15人,天使轮,"职位潜力大,五险一金,年终分红",2019/4/22
上海小牛互娱智能科技有限公司,5901301,数据分析师,不限,3-5年,15k-25k,上海,500-2000人,未融资,美女多，福利好，弹性工作,1天前发布
北京至上泽思信息技术有限公司,5820001,数据分析师,本科,3-5年,15k-30k,上海,50-150人,未融资,"五险一金,补充医疗,节日福利,带薪年假",1天前发布
杭州观数信息科技有限公司,3045803,数据分析师,本科,3-5年,12k-24k,杭州,50-150人,A轮,"成长空间,牛人团队,独挡一面,期权激励",1天前发布
北京无极慧通科技有限公司,5570911,数据分析师,本科,3-5年,10k-15k,北京,50-150人,A轮,"广阔的发展,创业公司,融洽的办公",1天前发布
深圳市和讯华谷信息技术有限公司,5645002,数据分析师,本科,1-3年,9k-15k,深圳,500-2000人,上市公司,"五险一金,奖金丰厚,福利多多,定期体检",1天前发布
杭州红花朵朵网络技术有限公司,5532121,数据分析,本科,3-5年,12k-20k,杭州,50-150人,A轮,快速成长，行业独角兽,1天前发布
厦门多快好省网络科技有限公司,5880792,数据分析师,本科,1-3年,8k-16k,厦门,50-150人,不需要融资,弹性上班，周末双休，五险一金 免费午晚餐,1天前发布
久爱致和（北京）科技有限公司,4143575,数据分析员,本科,1-3年,6k-10k,北京,150-500人,上市公司,发展前景好,1天前发布
杭州睿拓智能科技有限公司,5335113,数据分析师,本科,1-3年,11k-16k,上海,50-150人,A轮,AI 美国公司,1天前发布
深圳微融信息科技有限公司,5748069,数据分析师,本科,1-3年,9k-15k,深圳,50-150人,不需要融资,高薪 灵活 轻松,1天前发布
