职位名称,公司全名,公司简称,公司规模,城市,区域,工作经验,学历要求,工资,融资阶段,职位福利
java开发工程师,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,朝阳区,3-5年,本科,25k-35k,上市公司,平台大 发展好
java工程师（择优解决京户，19年毕业）,北京当当网信息技术有限公司,当当网,2000人以上,北京,朝阳区,应届毕业生,本科,13k-15k,上市公司,"地铁周边,弹性制,领导好,福利丰厚"
Java开发工程师（数据平台）,北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,北京,海淀区,3-5年,本科,20k-35k,上市公司,"弹性工作,工作氛围好,发展空间大"
java开发工程师,北京新橙科技有限公司,iCourt,150-500人,北京,朝阳区,3-5年,本科,20k-35k,不需要融资,五星级正餐、扁平化管理、年轻化团队
初级java开发工程师,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,1-3年,本科,11k-18k,不需要融资,年底双薪，地铁周边，股权激励，餐补
java开发工程师（IM）,北京当当网信息技术有限公司,当当网,2000人以上,北京,朝阳区,5-10年,本科,25k-40k,上市公司,"地铁周边,弹性制,领导好,福利丰厚"
JAVA开发工程师,北京人民在线网络有限公司,人民在线,150-500人,北京,朝阳区,3-5年,本科,10k-20k,不需要融资,"五险一金,补充医疗,带薪年假,大牛团队"
高级java工程师,深圳市央信科技有限公司,央信租机,15-50人,北京,海淀区,3-5年,本科,20k-40k,天使轮,"20-40K ,13薪"
java工程师,北京金影科技有限公司,金影,50-150人,北京,朝阳区,5-10年,大专,15k-20k,B轮,优质团队、B轮融资
资深Java工程师,北京高思博乐教育科技股份有限公司,高思教育集团,2000人以上,北京,海淀区,5-10年,本科,25k-50k,上市公司,绩效奖金，周末双休，弹性工作，六险一金
java（后端开发）工程师,北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,北京,海淀区,不限,本科,10k-20k,上市公司,"管理规范,工作氛围好,福利待遇好"
高级java开发工程师,上海阅客信息科技有限公司,阅客公司—唔哩,50-150人,北京,朝阳区,5-10年,本科,20k-40k,A轮,"六险一,加班补贴,弹性工作制,饭补"
Java研发工程师 -,深圳市爱贝信息技术有限公司,爱贝云计费,150-500人,北京,朝阳区,1-3年,本科,15K-30K,C轮,"公司发展,团队氛围,个人发展,薪资福利"
高级java开发工程师,影时光网络技术（北京）有限公司,时光网-Mtime,500-2000人,北京,朝阳区,5-10年,本科,15k-25k,不需要融资,五险一金、商业保险
Java开发资深工程师,人人贷商务顾问（北京）有限公司,人人贷,2000人以上,北京,海淀区,5-10年,本科,35k-50k,A轮,五险一金；年度体检；福利补贴；合规合法
java开发工程师,北京畅捷通支付技术有限公司,畅捷支付,150-500人,北京,海淀区,3-5年,本科,15k-30k,不需要融资,应用产品开发 团队氛围好 福利待遇好
Java资深（高级）研发工程师（CRM方向）,北京魔力耳朵科技有限公司,魔力耳朵,500-2000人,北京,朝阳区,3-5年,本科,20k-40k,B轮,"六险一金,年底双薪,绩效奖金,谈薪工作"
Java 开发工程师,网宿科技股份有限公司北京分公司,网宿科技,2000人以上,北京,海淀区,不限,本科,15k-25k,上市公司,五险一金 绩效奖金 带薪年假 弹性工作
Java高级开发工程师,北京拉勾网络技术有限公司,拉勾网,500-2000人,北京,海淀区,3-5年,本科,20k-35k,D轮及以上,"发展空间大,弹性工作制"
Java工程师,北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,北京,海淀区,不限,本科,15k-20k,上市公司,福利待遇好，大牛多
中高级java开发工程师,北京掌上先机网络科技有限公司,掌上先机-旺店通ERP,500-2000人,北京,海淀区,3-5年,不限,15k-30k,不需要融资,福利待遇好，发展空间大
JAVA高级/资深工程师,北京转转精神科技有限责任公司,转转,500-2000人,北京,海淀区,3-5年,本科,20k-40k,A轮,"六险一金,弹性工作,薪酬高,机会多"
JAVA开发工程师,北京比特大陆科技有限公司,比特大陆,150-500人,北京,海淀区,3-5年,本科,15k-22k,不需要融资,"区块链大牛,福利待遇好,成长空间大"
高级java（偏架构）,北京寓客资产管理有限公司,寓客,500-2000人,北京,朝阳区,5-10年,大专,25k-30k,A轮,薪资可谈 创业公司
Java高级开发工程师,颐月信息技术（北京）有限公司,BABEL 贝宝,15-50人,北京,朝阳区,3-5年,本科,25k-40k,A轮,"五险一金,商业保险,餐补,多次调薪"
高级java工程师,玖富数科科技集团有限责任公司,玖富集团,2000人以上,北京,朝阳区,不限,本科,20k-30k,D轮及以上,团队氛围好 重点项目
JAVA开发工程师,北京四达时代软件技术股份有限公司,四达时代集团,2000人以上,北京,大兴区,3-5年,本科,20k-40k,上市公司,多元化业务平台，敏捷开发，技术大牛多
中高级JAVA研发,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,通州区,3-5年,本科,14k-28k,上市公司,京东
JAVA中级工程师,智线云科技（北京）有限公司,ZingFront智线,50-150人,北京,朝阳区,3-5年,本科,15k-24k,A轮,"六险一金,补充医疗,房租补贴,带薪年假"
资深Java开发工程师,北京万桥达观信息技术有限公司,everbridge,500-2000人,北京,东城区,5-10年,本科,20k-28k,上市公司,"上市外企,弹性工作制,六险一金,美国交流"
